id,slot_id,customer_id,booking_time,original_price,discount_percentage,discount_amount,final_price,duration_minutes,status,created_at
1,1,42,2026-02-26 14:00:00+05:30,800.0,0.0,0.0,800.0,120,COMPLETED,2026-02-26 14:00:00+05:30
2,4,30,2026-02-27 04:00:00+05:30,800.0,0.0,0.0,800.0,60,COMPLETED,2026-02-27 04:00:00+05:30
3,5,26,2026-02-27 11:00:00+05:30,800.0,0.0,0.0,800.0,60,COMPLETED,2026-02-27 11:00:00+05:30
4,7,14,2026-02-26 18:00:00+05:30,800.0,0.0,0.0,800.0,120,COMPLETED,2026-02-26 18:00:00+05:30
5,10,17,2026-02-27 16:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-02-27 16:00:00+05:30
6,11,40,2026-02-28 20:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-02-28 20:00:00+05:30
7,12,53,2026-03-01 02:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-03-01 02:00:00+05:30
8,13,21,2026-02-27 03:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-02-27 03:00:00+05:30
9,14,25,2026-02-27 01:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-02-27 01:00:00+05:30
10,17,36,2026-03-01 04:00:00+05:30,1000.0,0.0,0.0,1000.0,120,COMPLETED,2026-03-01 04:00:00+05:30
11,18,56,2026-02-26 19:00:00+05:30,1000.0,0.0,0.0,1000.0,180,COMPLETED,2026-02-26 19:00:00+05:30
12,22,32,2026-03-01 11:00:00+05:30,1000.0,0.0,0.0,1000.0,180,COMPLETED,2026-03-01 11:00:00+05:30
13,23,18,2026-02-27 01:00:00+05:30,1000.0,0.0,0.0,1000.0,180,COMPLETED,2026-02-27 01:00:00+05:30
14,24,36,2026-02-27 19:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-02-27 19:00:00+05:30
15,25,35,2026-03-01 05:00:00+05:30,1500.0,10.0,150.0,1350.0,180,COMPLETED,2026-03-01 05:00:00+05:30
16,27,49,2026-03-01 09:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-03-01 09:00:00+05:30
17,35,51,2026-02-26 18:00:00+05:30,400.0,0.0,0.0,400.0,60,COMPLETED,2026-02-26 18:00:00+05:30
18,36,11,2026-02-26 22:00:00+05:30,400.0,0.0,0.0,400.0,60,COMPLETED,2026-02-26 22:00:00+05:30
19,38,7,2026-02-28 06:00:00+05:30,600.0,0.0,0.0,600.0,60,CANCELLED,2026-02-28 06:00:00+05:30
20,39,56,2026-02-28 01:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-02-28 01:00:00+05:30
21,40,54,2026-02-28 09:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-02-28 09:00:00+05:30
22,41,41,2026-03-01 09:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-03-01 09:00:00+05:30
23,52,14,2026-02-28 05:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-02-28 05:00:00+05:30
24,53,22,2026-03-01 12:00:00+05:30,1000.0,0.0,0.0,1000.0,120,COMPLETED,2026-03-01 12:00:00+05:30
25,54,3,2026-02-28 23:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-02-28 23:00:00+05:30
26,55,29,2026-03-01 04:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-03-01 04:00:00+05:30
27,65,102,2026-02-26 22:00:00+05:30,800.0,0.0,0.0,800.0,60,COMPLETED,2026-02-26 22:00:00+05:30
28,66,104,2026-03-01 01:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-03-01 01:00:00+05:30
29,67,91,2026-02-28 02:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-02-28 02:00:00+05:30
30,68,84,2026-03-01 02:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-03-01 02:00:00+05:30
31,69,102,2026-02-28 23:00:00+05:30,1200.0,0.0,0.0,1200.0,60,CANCELLED,2026-02-28 23:00:00+05:30
32,70,89,2026-02-27 13:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-02-27 13:00:00+05:30
33,71,116,2026-02-27 07:00:00+05:30,1000.0,0.0,0.0,1000.0,120,COMPLETED,2026-02-27 07:00:00+05:30
34,74,76,2026-03-01 08:00:00+05:30,1000.0,5.0,50.0,950.0,180,COMPLETED,2026-03-01 08:00:00+05:30
35,76,117,2026-02-28 00:00:00+05:30,1000.0,0.0,0.0,1000.0,180,COMPLETED,2026-02-28 00:00:00+05:30
36,77,102,2026-03-01 00:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-03-01 00:00:00+05:30
37,79,99,2026-02-28 00:00:00+05:30,1000.0,0.0,0.0,1000.0,120,COMPLETED,2026-02-28 00:00:00+05:30
38,80,69,2026-02-28 19:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-02-28 19:00:00+05:30
39,81,109,2026-03-01 17:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-03-01 17:00:00+05:30
40,82,77,2026-02-28 07:00:00+05:30,1500.0,0.0,0.0,1500.0,60,COMPLETED,2026-02-28 07:00:00+05:30
41,83,101,2026-02-27 00:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-02-27 00:00:00+05:30
42,84,95,2026-02-28 19:00:00+05:30,1500.0,0.0,0.0,1500.0,120,COMPLETED,2026-02-28 19:00:00+05:30
43,85,112,2026-03-01 00:00:00+05:30,400.0,0.0,0.0,400.0,60,COMPLETED,2026-03-01 00:00:00+05:30
44,88,76,2026-02-27 20:00:00+05:30,400.0,5.0,20.0,380.0,60,COMPLETED,2026-02-27 20:00:00+05:30
45,90,108,2026-02-27 17:00:00+05:30,400.0,0.0,0.0,400.0,60,COMPLETED,2026-02-27 17:00:00+05:30
46,93,71,2026-03-01 01:00:00+05:30,400.0,0.0,0.0,400.0,60,COMPLETED,2026-03-01 01:00:00+05:30
47,94,110,2026-02-28 08:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-02-28 08:00:00+05:30
48,95,106,2026-03-01 11:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-03-01 11:00:00+05:30
49,97,71,2026-03-01 06:00:00+05:30,600.0,0.0,0.0,600.0,60,COMPLETED,2026-03-01 06:00:00+05:30
50,99,61,2026-02-27 07:00:00+05:30,700.0,0.0,0.0,700.0,60,COMPLETED,2026-02-27 07:00:00+05:30
51,105,81,2026-02-27 15:00:00+05:30,700.0,0.0,0.0,700.0,60,COMPLETED,2026-02-27 15:00:00+05:30
52,107,118,2026-02-27 05:00:00+05:30,700.0,5.0,35.0,665.0,60,COMPLETED,2026-02-27 05:00:00+05:30
53,108,116,2026-03-01 16:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-03-01 16:00:00+05:30
54,109,84,2026-02-27 07:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-02-27 07:00:00+05:30
55,110,84,2026-02-26 22:00:00+05:30,1000.0,0.0,0.0,1000.0,120,COMPLETED,2026-02-26 22:00:00+05:30
56,111,109,2026-02-26 23:00:00+05:30,1000.0,0.0,0.0,1000.0,120,CANCELLED,2026-02-26 23:00:00+05:30
57,112,83,2026-02-27 21:00:00+05:30,1000.0,0.0,0.0,1000.0,60,COMPLETED,2026-02-27 21:00:00+05:30
58,114,140,2026-03-01 02:00:00+05:30,800.0,0.0,0.0,800.0,60,COMPLETED,2026-03-01 02:00:00+05:30
59,116,126,2026-02-27 01:00:00+05:30,800.0,10.0,80.0,720.0,60,COMPLETED,2026-02-27 01:00:00+05:30
60,117,168,2026-02-26 12:00:00+05:30,800.0,0.0,0.0,800.0,120,COMPLETED,2026-02-26 12:00:00+05:30
61,119,129,2026-02-27 21:00:00+05:30,800.0,0.0,0.0,800.0,60,COMPLETED,2026-02-27 21:00:00+05:30
62,121,135,2026-02-28 19:00:00+05:30,800.0,10.0,80.0,720.0,60,COMPLETED,2026-02-28 19:00:00+05:30
63,122,149,2026-02-28 15:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-02-28 15:00:00+05:30
64,123,149,2026-02-28 04:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-02-28 04:00:00+05:30
65,124,173,2026-03-01 01:00:00+05:30,1200.0,0.0,0.0,1200.0,60,COMPLETED,2026-03-01 01:00:00+05:30
66,125,126,2026-02-28 06:00:00+05:30,1200.0,0.0,0.0,1200.0,60,CANCELLED,2026-02-28 06:00:00+05:30
67,126,137,2026-02-26 22:00:00+05:30,1200.0,0.0,0.0,1200.0,120,COMPLETED,2026-02-26 22:00:00+05:30
